Z-Trace,Note,Start,End,Length,
d01_cl00_asyn_zlen,,108,110,0.120008,
d01_cl01_syn_zlen,,110,120,0.611398,
d01_cl02_asyn_zlen,,120,127,0.434799,
d01_cl03_syn_symm_zlen,,127,150,1.39229,
d01_cl04_asyn_zlen,,150,153,0.197343,
d01_cl05_syn_zlen,,153,161,0.507372,
d01_cl06_asyn_zlen,,161,165,0.241921,
d01_Z,,1,185,13.1005,
d01_Z smooth10,,1,185,11.5835,
d01_Z smooth10_analyzed_length,,9,180,10.7765,
d01plinn01,,16,28,0.737125,
d01plinn01,,16,28,0.737125,
d01plinn02,,28,44,1.029,
d01plinn02,,28,44,1.029,
d01plinn03,,44,46,0.223493,
d01plinn03,,44,46,0.223493,
d01plinn04,,46,49,0.209556,
d01plinn04,,46,49,0.209556,
d01plinn05,,49,51,0.120065,
d01plinn05,,49,51,0.120065,
d01plinn06,,51,53,0.147932,
d01plinn06,,51,53,0.147932,
d01plinn07,,53,54,0.06,
d01plinn07,,53,54,0.06,
d01plinn08,,54,57,0.228081,
d01plinn08,,54,57,0.228081,
d01plinn09,,57,72,1.06251,
d01plinn09,,57,72,1.06251,
d01plinn10,,72,75,0.182276,
d01plinn10,,72,75,0.182276,
d01plinn11,,75,82,0.457669,
d01plinn11,,75,82,0.457669,
d01plinn12,,82,104,1.32426,
d01plinn12,,82,104,1.32426,
d01plinn13,,104,111,0.420185,
d01plinn13,,104,111,0.420185,
d01plinn14,,111,113,0.120324,
d01plinn14,,111,113,0.120324,
d01plinn15,,113,127,0.867873,
d01plinn15,,113,127,0.867873,
d01plinn16,,127,130,0.18,
d01plinn16,,127,130,0.18,
d01plinn17,,130,132,0.130494,
d01plinn17,,130,132,0.130494,
d01plinn18,,132,136,0.24,
d01plinn18,,132,136,0.24,
d01plinn19,,136,140,0.244177,
d01plinn19,,136,140,0.244177,
d01plinn20,,140,145,0.305269,
d01plinn20,,140,145,0.305269,
d01plinn21,,145,153,0.500967,
d01plinn21,,145,153,0.500967,
d01plinn22,,153,157,0.249221,
d01plinn22,,153,157,0.249221,
d01plinn23,,157,165,0.48511,
d01plinn23,,157,165,0.48511,
d01plinn24,,165,176,0.683043,
d01plinn24,,165,176,0.683043,
d01plinn25,,176,183,0.42829,
d01plinn25,,176,183,0.42829,
d01z_1mw,,16,129,7.20689,
d01z_2mw,,16,129,7.18364,
d01z_3mw,,16,129,7.21497,
d01zlen_cu04,,33,43,0.605944,
d01zlen_cu04,,33,43,0.607707,
d01zlen_cu05,,44,63,1.30164,
d01zlen_cu05,,44,63,1.343,
d01zlen_cu05,,44,63,1.34822,
d01zlen_cu05,,44,63,1.31442,
d01zlen_cu07,,70,89,1.18362,
d01zlen_cu07,,70,89,1.18186,
d01zlen_cu08,,90,103,0.78,
d01zlen_cu08,,90,103,0.78,
d01zlen_cu12,,118,126,0.501313,
d01zlen_cu12,,118,126,0.505783,
d01zlen_cu13,,127,149,1.33419,
d01zlen_cu13,,127,149,1.33539,
d01zlen_cu15,,153,160,0.443158,
d01zlen_cu15,,153,160,0.444894,
d01zlen_DOWN,,16,183,10.4632,
d01zlen_UP,,16,183,10.5115,
