sec,x,y
1.0,4.45185,6.72455
2.0,4.44166,6.73003
3.0,4.42635,6.73434
4.0,4.40641,6.7371
5.0,4.38437,6.74157
6.0,4.35728,6.74267
7.0,4.32941,6.74447
8.0,4.3006,6.74349
9.0,4.27456,6.74233
10.0,4.24732,6.73873
11.0,4.22126,6.73412
12.0,4.19534,6.72084
13.0,4.17692,6.70638
14.0,4.16267,6.69233
15.0,4.14386,6.67499
16.0,4.1296,6.66065
17.0,4.11487,6.64577
18.0,4.09932,6.63403
19.0,4.08023,6.62411
20.0,4.06917,6.61675
21.0,4.05548,6.61091
22.0,4.04433,6.60537
23.0,4.02981,6.60333
24.0,4.01553,6.6022
25.0,4.0067,6.60138
26.0,3.99855,6.60196
27.0,3.98434,6.60057
28.0,3.96103,6.598
29.0,3.94117,6.59473
30.0,3.90865,6.59005
31.0,3.87864,6.58415
32.0,3.84727,6.57887
33.0,3.81733,6.57233
34.0,3.78241,6.56737
35.0,3.74384,6.56326
36.0,3.69796,6.55783
37.0,3.65647,6.55452
38.0,3.61959,6.55359
39.0,3.58165,6.55626
40.0,3.54675,6.55875
41.0,3.50887,6.56157
42.0,3.46958,6.56426
43.0,3.4295,6.5673
44.0,3.3896,6.56887
45.0,3.35835,6.56883
46.0,3.33141,6.56655
47.0,3.31137,6.56168
48.0,3.30025,6.55492
49.0,3.28843,6.54507
50.0,3.27845,6.53531
51.0,3.26461,6.52587
52.0,3.25102,6.51869
53.0,3.23195,6.51188
54.0,3.21607,6.50589
55.0,3.19729,6.50444
56.0,3.17721,6.50541
57.0,3.15185,6.51121
58.0,3.11801,6.51749
59.0,3.08088,6.5259
60.0,3.04653,6.53526
61.0,3.01656,6.5451
62.0,2.98366,6.55458
63.0,2.95367,6.56331
64.0,2.92392,6.56702
65.0,2.88691,6.56523
66.0,2.85076,6.5598
67.0,2.81299,6.5532
68.0,2.77159,6.5486
69.0,2.72614,6.54442
70.0,2.6732,6.54011
71.0,2.61713,6.53578
72.0,2.55565,6.53202
73.0,2.48931,6.52752
74.0,2.41546,6.5245
75.0,2.33767,6.5203
76.0,2.25031,6.5235
77.0,2.15862,6.52802
78.0,2.06137,6.53012
79.0,1.96823,6.52857
80.0,1.87589,6.52692
81.0,1.77998,6.52525
82.0,1.68749,6.52237
83.0,1.59546,6.52174
84.0,1.51271,6.52348
85.0,1.43846,6.5317
86.0,1.37129,6.53582
87.0,1.31171,6.53743
88.0,1.2601,6.54062
89.0,1.21573,6.54641
90.0,1.17579,6.54806
91.0,1.13219,6.5469
92.0,1.09296,6.54217
93.0,1.06069,6.53582
94.0,1.02275,6.52999
95.0,0.983501,6.51882
96.0,0.941031,6.50765
97.0,0.895412,6.495
98.0,0.853327,6.48249
99.0,0.803986,6.46576
100.0,0.753212,6.45055
101.0,0.713137,6.43826
102.0,0.666416,6.43392
103.0,0.617309,6.43041
104.0,0.567136,6.42572
105.0,0.517469,6.42403
106.0,0.475268,6.42331
107.0,0.433774,6.42435
108.0,0.398833,6.42137
109.0,0.365869,6.42274
110.0,0.331422,6.42641
111.0,0.296113,6.42838
112.0,0.269334,6.42294
113.0,0.243821,6.41539
114.0,0.219187,6.40457
115.0,0.19258,6.39515
116.0,0.166246,6.3828
117.0,0.140618,6.36993
118.0,0.109502,6.35899
119.0,0.0806507,6.34519
120.0,0.0561487,6.33009
121.0,0.0315816,6.31412
122.0,0.00639199,6.30151
123.0,-0.0208678,6.29147
124.0,-0.0447412,6.2855
125.0,-0.0665336,6.27777
126.0,-0.0926023,6.27205
127.0,-0.118359,6.26764
128.0,-0.141659,6.26383
129.0,-0.161479,6.26203
130.0,-0.183576,6.25971
131.0,-0.20213,6.26043
132.0,-0.220258,6.26176
133.0,-0.235974,6.26253
134.0,-0.251724,6.26412
135.0,-0.262673,6.26477
136.0,-0.271081,6.26436
137.0,-0.280877,6.26207
138.0,-0.293672,6.26017
139.0,-0.308677,6.25834
140.0,-0.322589,6.25777
141.0,-0.338038,6.25569
142.0,-0.353401,6.25246
143.0,-0.369724,6.24842
144.0,-0.386665,6.24399
145.0,-0.413731,6.24446
146.0,-0.447677,6.24525
147.0,-0.479142,6.24498
148.0,-0.508008,6.24423
149.0,-0.536753,6.24351
150.0,-0.568897,6.2431
151.0,-0.599756,6.24316
152.0,-0.629798,6.2432
153.0,-0.657761,6.24358
154.0,-0.682786,6.24386
